Date,Year,Month,Day_of_Year,Product,Consumer_Demand,Retailer_Order,Wholesaler_Order,Manufacturer_Order,Inventory_Level,Lead_Time_Days,Supply_Disruption,Temperature_C,Wind_Speed_kmh,Rainfall_mm,Commodity_Price_INR,News_Sentiment,Demand_Amplification,Bullwhip_Ratio,Risk_Score,Risk_Label,Risk_Level_Num
2020-01-24,2020,1,24,Milk,880.6,1733.94,3381.47,8322.04,3810.0,7,0,24.8,19.6,0.6,4066.0,-0.379,1.969,1.3119,37.23,LOW,0
2020-01-25,2020,1,25,Rice,835.67,1548.46,3342.52,7859.8,3722.0,4,0,27.2,4.1,1.4,4082.0,-0.587,1.853,1.3136,23.46,LOW,0
2020-01-26,2020,1,26,Wheat,785.21,1335.6,2561.05,7002.31,3265.0,4,0,23.9,11.6,0.0,4046.0,-0.234,1.701,1.3177,21.4,LOW,0
2020-01-27,2020,1,27,Tomato,749.21,1275.43,2465.51,6507.54,3074.0,7,0,26.3,8.7,0.7,4062.0,-0.121,1.702,1.3345,36.24,LOW,0
2020-01-28,2020,1,28,Onion,828.06,1463.26,3070.51,7714.45,3625.0,7,0,24.4,6.0,0.0,3793.0,-0.053,1.767,1.3338,35.27,LOW,0
2020-01-29,2020,1,29,Sugar,878.6,1625.65,3249.32,7773.44,3614.0,7,0,24.1,8.0,0.3,4297.0,-0.496,1.85,1.2955,39.88,LOW,0
2020-01-30,2020,1,30,Milk,856.0,1523.11,3226.48,7870.5,3716.0,5,0,22.0,5.3,0.4,4370.0,-0.599,1.779,1.287,31.0,LOW,0
2020-01-31,2020,1,31,Rice,754.53,1452.92,2861.91,7153.21,3334.0,4,0,23.0,9.9,0.1,4166.0,-0.169,1.926,1.2775,21.67,LOW,0
2020-02-01,2020,2,32,Wheat,737.98,1331.74,2551.08,6793.66,3179.0,4,0,25.6,10.1,0.2,4126.0,-0.371,1.805,1.271,22.18,LOW,0
2020-02-02,2020,2,33,Tomato,866.76,1594.69,3420.8,8945.78,4018.0,7,0,29.2,7.7,0.4,4071.0,-0.642,1.84,1.3668,39.42,LOW,0
2020-02-03,2020,2,34,Onion,949.62,1651.82,3159.1,7395.21,3532.0,4,0,24.8,8.5,0.2,4092.0,-0.177,1.739,1.2411,20.42,LOW,0
2020-02-04,2020,2,35,Sugar,909.85,1628.11,3244.23,8000.7,3711.0,5,1,26.4,6.7,0.2,4619.0,-0.316,1.789,1.2193,61.06,MEDIUM,1
2020-02-05,2020,2,36,Milk,855.33,1651.74,3340.69,8418.45,3893.0,4,1,27.2,12.8,0.2,4163.0,-0.364,1.931,1.2981,52.92,MEDIUM,1
2020-02-06,2020,2,37,Rice,919.88,1573.02,2904.73,7707.18,3555.0,5,0,26.5,7.8,0.4,4193.0,-0.38,1.71,1.3068,28.43,LOW,0
2020-02-07,2020,2,38,Wheat,1016.05,1942.42,3809.1,10048.23,4512.0,5,0,26.8,10.7,2.0,4164.0,-0.134,1.912,1.3337,27.32,LOW,0
2020-02-08,2020,2,39,Tomato,903.9,1470.05,2868.54,7630.71,3559.0,7,1,27.5,11.0,1.5,4099.0,-0.161,1.626,1.3503,67.05,MEDIUM,1
2020-02-09,2020,2,40,Onion,874.68,1494.08,2898.18,6612.74,3092.0,7,0,27.4,3.5,0.4,4264.0,-0.554,1.708,1.4052,41.49,LOW,0
2020-02-10,2020,2,41,Sugar,900.49,1689.68,3212.8,8226.34,3772.0,5,0,25.2,7.6,0.1,4094.0,-0.711,1.876,1.3976,30.46,LOW,0
2020-02-11,2020,2,42,Milk,867.59,1518.27,2994.99,8193.43,3806.0,7,0,25.7,6.3,0.2,4106.0,-0.621,1.75,1.4026,40.2,LOW,0
2020-02-12,2020,2,43,Rice,886.09,1507.91,3373.82,8308.75,3806.0,6,0,25.1,3.4,0.7,4172.0,-0.696,1.702,1.3663,35.69,LOW,0
2020-02-13,2020,2,44,Wheat,963.51,1667.15,3296.51,7936.24,3719.0,4,0,26.9,13.6,0.0,4122.0,0.106,1.73,1.2987,20.17,LOW,0
2020-02-14,2020,2,45,Tomato,923.0,1770.67,3555.04,8520.17,3908.0,5,0,28.3,11.6,0.3,4035.0,-0.815,1.918,1.2934,28.83,LOW,0
2020-02-15,2020,2,46,Onion,846.5,1557.33,3084.4,7634.66,3564.0,5,0,22.6,12.4,0.0,4618.0,-0.242,1.84,1.295,31.82,LOW,0
2020-02-16,2020,2,47,Sugar,1035.59,1998.24,4182.92,10074.95,4531.0,5,0,25.2,7.0,0.3,4070.0,-0.492,1.93,1.3396,28.25,LOW,0
2020-02-17,2020,2,48,Milk,894.68,1596.26,3268.64,7493.19,3441.0,7,0,27.9,16.2,0.4,3952.0,-0.149,1.784,1.3949,36.67,LOW,0
2020-02-18,2020,2,49,Rice,970.02,1857.91,3256.61,7830.1,3665.0,4,0,26.9,9.4,0.9,4638.0,-0.581,1.915,1.3637,29.74,LOW,0
2020-02-19,2020,2,50,Wheat,939.15,1734.0,3554.22,9210.92,4232.0,5,0,27.0,8.7,0.1,4146.0,-0.481,1.846,1.3513,29.13,LOW,0
2020-02-20,2020,2,51,Tomato,941.2,1792.13,3463.03,7730.73,3604.0,5,1,27.6,7.5,0.3,4091.0,-0.153,1.904,1.3255,56.56,MEDIUM,1
2020-02-21,2020,2,52,Onion,882.29,1456.32,2801.27,7311.14,3382.0,4,0,27.6,15.1,0.4,4609.0,-0.151,1.651,1.3614,27.27,LOW,0
2020-02-22,2020,2,53,Sugar,967.52,1704.56,3490.76,8866.67,3918.0,4,0,27.6,8.5,0.1,4090.0,-0.694,1.762,1.325,24.24,LOW,0
2020-02-23,2020,2,54,Milk,949.79,1810.72,3983.46,10301.9,4753.0,6,0,28.4,6.5,0.3,4058.0,-0.346,1.906,1.451,34.08,LOW,0
2020-02-24,2020,2,55,Rice,964.07,1738.94,3787.79,9737.78,4379.0,4,1,26.3,11.3,0.1,4006.0,0.166,1.804,1.5096,51.87,HIGH,2
2020-02-25,2020,2,56,Wheat,955.85,1689.75,3306.98,8079.58,3649.0,4,0,27.4,6.8,0.5,4056.0,-0.704,1.768,1.5244,26.95,MEDIUM,1
2020-02-26,2020,2,57,Tomato,1025.67,1852.23,3465.52,8125.23,3714.0,6,0,25.5,15.0,0.1,4096.0,-0.482,1.806,1.5013,35.89,MEDIUM,1
2020-02-27,2020,2,58,Onion,1034.97,1807.26,3496.13,8927.19,4078.0,7,0,26.0,16.8,1.0,3986.0,-0.603,1.746,1.4716,40.09,LOW,0
2020-02-28,2020,2,59,Sugar,955.71,1771.83,3523.31,8873.82,4129.0,7,0,29.9,6.7,0.0,4228.0,-1.0,1.854,1.4738,44.39,LOW,0
2020-02-29,2020,2,60,Milk,999.1,1774.52,3422.01,8600.09,4004.0,6,0,25.7,11.5,0.4,4094.0,-0.119,1.776,1.4655,33.52,LOW,0
2020-03-01,2020,3,61,Rice,1041.25,1780.2,3467.02,8871.14,3964.0,6,0,28.2,12.1,0.1,3986.0,-0.267,1.71,1.5315,34.31,MEDIUM,1
2020-03-02,2020,3,62,Wheat,965.3,1755.37,3385.07,8742.48,3909.0,6,0,30.7,14.1,1.2,4007.0,-0.005,1.818,1.7325,36.08,MEDIUM,1
2020-03-03,2020,3,63,Tomato,1053.3,1776.88,3775.28,8455.17,3996.0,7,0,27.4,8.4,1.5,4009.0,-0.409,1.687,1.6802,42.34,MEDIUM,1
2020-03-04,2020,3,64,Onion,881.44,1647.92,3470.05,8109.51,3695.0,5,0,29.3,7.0,0.1,3880.0,-0.341,1.87,1.603,30.75,MEDIUM,1
2020-03-05,2020,3,65,Sugar,1046.2,1740.66,3660.47,9358.77,4262.0,5,0,30.4,12.9,0.5,3785.0,-0.784,1.664,1.5624,32.36,MEDIUM,1
2020-03-06,2020,3,66,Milk,1025.01,1826.57,3873.71,9791.42,4341.0,5,0,30.6,11.6,0.3,4444.0,-0.218,1.782,1.6519,35.31,MEDIUM,1
2020-03-07,2020,3,67,Rice,1035.8,1809.84,3313.9,8677.31,4020.0,5,0,29.5,10.7,0.0,4092.0,-0.414,1.747,1.5927,31.88,MEDIUM,1
2020-03-08,2020,3,68,Wheat,1011.46,1838.23,4034.15,10420.2,4678.0,5,0,31.9,12.4,0.5,4509.0,-0.271,1.817,1.6371,36.0,MEDIUM,1
2020-03-09,2020,3,69,Tomato,1059.87,1799.51,3404.49,8941.48,4122.0,4,0,29.9,12.0,1.0,4011.0,-0.555,1.698,1.5658,26.37,MEDIUM,1
2020-03-10,2020,3,70,Onion,950.79,1788.93,3568.89,7838.98,3650.0,5,0,31.9,14.3,0.8,3784.0,-0.14,1.882,1.4933,28.1,LOW,0
2020-03-11,2020,3,71,Sugar,988.99,1826.52,3783.33,9479.68,4279.0,6,0,31.8,7.9,0.3,4011.0,-0.306,1.847,1.5365,34.69,MEDIUM,1
2020-03-12,2020,3,72,Milk,1028.3,1993.9,4021.4,10049.21,4531.0,7,1,29.8,12.4,0.6,3902.0,-0.41,1.939,1.6496,71.79,HIGH,2
2020-03-13,2020,3,73,Rice,1144.1,1968.01,4129.73,10218.27,4567.0,4,0,29.9,12.0,0.5,3952.0,-0.252,1.72,1.5777,24.93,MEDIUM,1
2020-03-14,2020,3,74,Wheat,1066.4,1963.48,4161.43,10451.79,4662.0,5,0,27.8,11.9,0.2,4136.0,-0.297,1.841,1.5832,31.59,MEDIUM,1
2020-03-15,2020,3,75,Tomato,1041.35,1815.8,4059.66,10606.04,4694.0,4,0,28.7,10.5,1.0,3984.0,-0.075,1.744,1.6671,25.38,MEDIUM,1
2020-03-16,2020,3,76,Onion,1038.92,1873.84,3629.44,9468.85,4343.0,4,0,30.1,15.6,0.4,4307.0,-0.223,1.804,1.7631,30.63,MEDIUM,1
2020-03-17,2020,3,77,Sugar,1127.57,2075.38,4372.14,11543.83,5196.0,6,0,32.1,11.9,0.1,4229.0,-0.356,1.841,1.7951,41.0,MEDIUM,1
2020-03-18,2020,3,78,Milk,1108.63,1926.17,3733.88,9223.47,4169.0,4,0,29.1,7.0,0.2,3956.0,-0.32,1.737,1.7267,27.5,MEDIUM,1
2020-03-19,2020,3,79,Rice,1123.28,2026.22,4297.4,10000.14,4471.0,5,0,30.3,11.2,0.0,3915.0,-0.348,1.804,1.6133,30.94,MEDIUM,1
2020-03-20,2020,3,80,Wheat,1196.8,2259.9,4909.74,11903.71,5152.0,6,0,29.7,8.7,0.9,4035.0,-0.834,1.888,1.6422,39.15,MEDIUM,1
2020-03-21,2020,3,81,Tomato,1128.1,1985.28,3767.81,9739.8,4304.0,7,0,30.4,8.3,0.5,3998.0,-0.43,1.76,1.5635,40.6,MEDIUM,1
2020-03-22,2020,3,82,Onion,1082.58,2049.42,3908.37,9404.97,4250.0,6,0,31.0,11.2,0.4,4002.0,-0.319,1.893,1.5493,34.85,MEDIUM,1
2020-03-23,2020,3,83,Sugar,1151.08,2138.49,4375.33,11257.3,5085.0,4,1,28.6,11.0,0.0,3847.0,-0.253,1.858,1.575,54.89,HIGH,2
2020-03-24,2020,3,84,Milk,1195.5,2186.85,4028.25,9793.2,4296.0,7,0,29.3,6.0,0.4,4041.0,-0.536,1.829,1.5058,40.68,MEDIUM,1
2020-03-25,2020,3,85,Rice,1045.96,1946.36,4045.67,10320.73,4687.0,5,0,28.5,9.9,0.1,4449.0,-0.748,1.861,1.5561,36.57,MEDIUM,1
2020-03-26,2020,3,86,Wheat,1096.8,2064.01,4146.92,9677.9,4389.0,7,0,28.3,12.8,0.0,3994.0,0.144,1.882,1.538,37.35,MEDIUM,1
2020-03-27,2020,3,87,Tomato,1154.13,2140.36,4156.69,10934.91,4906.0,5,0,30.2,12.9,0.8,3983.0,0.255,1.855,1.4767,25.88,LOW,0
2020-03-28,2020,3,88,Onion,1217.43,2162.33,4792.5,11085.49,4956.0,7,0,31.6,15.0,1.0,3935.0,0.118,1.776,1.4086,35.54,LOW,0
2020-03-29,2020,3,89,Sugar,1145.52,2072.94,4273.05,10158.17,4565.0,7,0,29.6,5.0,1.0,3914.0,0.072,1.81,1.4235,35.99,LOW,0
2020-03-30,2020,3,90,Milk,1227.14,2302.35,5283.02,12947.96,5688.0,6,0,30.1,14.7,0.5,3830.0,-0.16,1.876,1.522,33.63,MEDIUM,1
2020-03-31,2020,3,91,Rice,1179.24,2004.36,4284.67,11111.19,4934.0,4,0,30.6,7.9,1.2,3980.0,-0.487,1.7,1.4901,24.79,LOW,0
2020-04-01,2020,4,92,Wheat,1114.65,2143.89,4674.65,11301.96,5038.0,4,0,34.4,6.0,0.3,4330.0,-0.54,1.923,1.5374,29.06,MEDIUM,1
2020-04-02,2020,4,93,Tomato,1159.06,2130.53,4277.43,10035.03,4584.0,7,0,35.5,8.5,0.3,4065.0,-0.145,1.838,1.4654,38.36,LOW,0
2020-04-03,2020,4,94,Onion,1085.45,1997.57,3564.88,9214.73,4152.0,7,0,35.5,13.3,0.4,3933.0,-0.385,1.84,1.6062,41.02,MEDIUM,1
2020-04-04,2020,4,95,Sugar,1163.46,1997.91,3957.85,10107.59,4550.0,4,0,33.1,10.0,0.1,4458.0,-0.264,1.717,1.5863,29.69,MEDIUM,1
2020-04-05,2020,4,96,Milk,1090.53,2000.27,3582.91,8642.26,3982.0,6,0,34.8,11.8,0.1,3883.0,-0.139,1.834,1.6867,36.0,MEDIUM,1
2020-04-06,2020,4,97,Rice,1185.94,2169.32,4860.01,12116.42,5372.0,6,0,34.3,13.2,0.0,3837.0,-0.044,1.829,1.702,35.75,MEDIUM,1
2020-04-07,2020,4,98,Wheat,1232.06,2035.27,4262.56,10831.56,4850.0,4,0,32.3,12.4,2.5,3917.0,-0.231,1.652,1.6974,26.62,MEDIUM,1
2020-04-08,2020,4,99,Tomato,1102.37,1901.93,4002.98,10281.22,4679.0,4,0,35.1,11.9,0.3,3959.0,-0.709,1.725,1.6651,28.52,MEDIUM,1
2020-04-09,2020,4,100,Onion,1269.95,2080.73,4384.39,12124.86,5463.0,7,0,35.7,3.5,0.0,4092.0,-0.606,1.638,1.6188,43.23,MEDIUM,1
2020-04-10,2020,4,101,Sugar,1243.68,2206.3,3861.16,10714.37,4795.0,5,0,31.9,5.1,0.4,4062.0,-0.231,1.774,1.6555,31.61,MEDIUM,1
2020-04-11,2020,4,102,Milk,1289.53,2293.24,4875.84,12265.26,5357.0,5,0,34.6,6.3,0.3,3914.0,-0.661,1.778,1.6758,33.44,MEDIUM,1
2020-04-12,2020,4,103,Rice,1250.88,2189.79,3960.87,10090.8,4509.0,6,0,36.3,12.3,0.2,3942.0,-0.448,1.751,1.621,36.55,MEDIUM,1
2020-04-13,2020,4,104,Wheat,1231.79,2310.74,4468.48,10730.1,4794.0,4,0,33.8,8.6,0.4,4046.0,-0.385,1.876,1.6355,26.92,MEDIUM,1
2020-04-14,2020,4,105,Tomato,1174.74,2052.23,3816.61,10342.83,4609.0,5,0,32.1,7.9,0.8,3931.0,-0.026,1.747,1.7298,31.08,MEDIUM,1
2020-04-15,2020,4,106,Onion,1235.11,2110.34,4167.85,10671.11,4782.0,6,0,33.5,17.4,0.1,3804.0,-0.861,1.709,1.7727,40.9,MEDIUM,1
2020-04-16,2020,4,107,Sugar,1290.07,2148.19,4363.91,10908.69,4883.0,6,0,34.6,7.7,0.3,4035.0,-0.069,1.665,1.6714,35.77,MEDIUM,1
2020-04-17,2020,4,108,Milk,1280.83,2375.3,4685.65,11293.18,4979.0,5,0,35.3,13.4,0.3,4094.0,-0.39,1.855,1.583,31.64,MEDIUM,1
2020-04-18,2020,4,109,Rice,1235.78,2070.59,4209.68,10945.28,4837.0,5,0,31.0,11.1,0.2,4092.0,-0.274,1.676,1.5726,30.88,MEDIUM,1
2020-04-19,2020,4,110,Wheat,1235.56,2234.94,4554.34,11016.42,4836.0,7,0,34.8,5.3,0.9,3813.0,-0.56,1.809,1.5237,40.66,MEDIUM,1
2020-04-20,2020,4,111,Tomato,1234.47,2299.09,4615.47,12218.29,5373.0,5,1,32.9,10.7,0.7,4000.0,-0.225,1.862,1.5594,59.52,HIGH,2
2020-04-21,2020,4,112,Onion,1213.7,2072.34,3825.99,9004.69,4144.0,5,0,32.9,13.9,0.2,3764.0,-0.402,1.707,1.6687,32.04,MEDIUM,1
2020-04-22,2020,4,113,Sugar,1241.38,2224.65,4653.77,11472.33,5125.0,5,0,34.4,11.0,0.8,3947.0,-0.627,1.792,1.6753,33.26,MEDIUM,1
2020-04-23,2020,4,114,Milk,1246.42,2171.54,4914.03,12823.1,5632.0,4,0,31.6,8.5,1.5,4037.0,-0.248,1.742,1.7314,27.58,MEDIUM,1
2020-04-24,2020,4,115,Rice,1153.34,2016.36,3450.34,8747.28,3971.0,6,0,34.4,7.6,0.1,3886.0,-0.275,1.748,2.0244,41.74,MEDIUM,1
2020-04-25,2020,4,116,Wheat,1216.36,2348.99,4674.66,10847.52,4848.0,5,1,35.3,6.3,0.0,3943.0,-0.516,1.931,2.0935,68.98,HIGH,2
2020-04-26,2020,4,117,Tomato,1257.38,2263.59,4626.09,12226.18,5325.0,6,0,35.4,5.5,0.4,3855.0,-0.467,1.8,2.1455,44.52,MEDIUM,1
2020-04-27,2020,4,118,Onion,1248.44,2288.97,4554.63,11076.56,4929.0,7,0,33.4,14.1,0.4,3935.0,-0.698,1.833,2.13,50.44,MEDIUM,1
2020-04-28,2020,4,119,Sugar,1156.94,2273.2,4275.2,10667.43,4790.0,4,0,35.8,7.4,0.3,3896.0,-1.0,1.965,2.1273,36.91,MEDIUM,1
2020-04-29,2020,4,120,Milk,1265.96,2311.66,4584.79,11907.02,5225.0,4,0,32.9,9.9,0.2,4072.0,-0.39,1.826,2.0085,32.8,MEDIUM,1
2020-04-30,2020,4,121,Rice,1283.24,2240.25,4931.55,12409.67,5410.0,6,0,33.5,10.6,0.0,3860.0,-0.691,1.746,2.0336,43.96,MEDIUM,1
2020-05-01,2020,5,122,Wheat,1173.84,2230.78,4503.58,11190.9,4951.0,7,0,35.9,18.1,1.1,4072.0,-0.776,1.9,2.1203,51.4,MEDIUM,1
2020-05-02,2020,5,123,Tomato,1279.28,2207.97,4557.63,12063.84,5272.0,6,0,36.1,18.1,1.7,4257.0,0.14,1.726,2.1228,43.71,MEDIUM,1
2020-05-03,2020,5,124,Onion,1285.81,2229.18,4503.31,11723.14,5230.0,7,0,33.8,14.7,0.2,3912.0,-0.308,1.734,2.2097,49.69,MEDIUM,1
2020-05-04,2020,5,125,Sugar,1312.91,2302.0,4565.53,11568.64,5086.0,6,0,36.6,22.8,0.9,4195.0,-0.048,1.753,2.1469,44.39,MEDIUM,1
2020-05-05,2020,5,126,Milk,1317.57,2553.97,5184.6,13162.15,5769.0,4,0,36.0,14.4,0.2,4140.0,-0.97,1.938,2.2362,39.79,MEDIUM,1
2020-05-06,2020,5,127,Rice,1364.81,2524.73,5132.45,13385.56,5866.0,4,0,36.1,19.4,0.3,4210.0,-0.678,1.85,2.1966,38.44,MEDIUM,1
2020-05-07,2020,5,128,Wheat,1266.42,2148.5,4528.6,11734.09,5226.0,7,1,37.9,22.6,0.2,4220.0,-0.635,1.697,2.1874,83.19,HIGH,2
2020-05-08,2020,5,129,Tomato,1272.22,2332.69,4458.35,10911.83,4884.0,7,0,38.1,16.9,2.8,4283.0,-0.52,1.834,2.4884,57.76,MEDIUM,1
2020-05-09,2020,5,130,Onion,1236.4,2184.35,4110.78,10760.62,4852.0,7,0,36.6,23.4,0.1,4153.0,0.089,1.767,2.4868,53.39,MEDIUM,1
2020-05-10,2020,5,131,Sugar,1250.72,2334.12,4666.6,12401.45,5417.0,7,1,38.7,16.1,0.6,3925.0,-0.16,1.866,2.5059,83.39,HIGH,2
2020-05-11,2020,5,132,Milk,1322.8,2319.39,4599.06,11838.53,5187.0,7,0,38.0,15.3,0.1,4232.0,-0.468,1.753,2.4188,55.94,MEDIUM,1
2020-05-12,2020,5,133,Rice,1266.71,2390.4,5231.3,14047.02,6090.0,4,0,36.3,14.6,0.2,4160.0,-0.931,1.887,2.575,44.88,MEDIUM,1
2020-05-13,2020,5,134,Wheat,1221.83,2062.42,3546.08,9160.46,4203.0,6,0,36.8,20.7,0.0,4064.0,-0.13,1.688,2.7333,52.29,MEDIUM,1
2020-05-14,2020,5,135,Tomato,1306.08,2236.23,4560.86,11088.3,4882.0,6,0,37.5,18.4,0.0,4072.0,-0.668,1.712,2.7736,55.66,MEDIUM,1
2020-05-15,2020,5,136,Onion,1192.9,2101.39,4352.83,10972.92,4875.0,5,0,36.7,18.4,0.4,4112.0,-0.179,1.762,2.6842,47.28,MEDIUM,1
2020-05-16,2020,5,137,Sugar,1294.37,2383.29,4394.18,10706.47,4752.0,7,0,38.2,14.2,0.1,4189.0,-0.411,1.841,2.6882,59.27,MEDIUM,1
2020-05-17,2020,5,138,Milk,1373.7,2501.65,4855.59,12357.15,5401.0,4,0,37.1,16.5,0.4,4041.0,-0.425,1.821,2.4818,39.76,MEDIUM,1
2020-05-18,2020,5,139,Rice,1230.04,2208.36,4317.7,11835.7,5234.0,5,0,39.7,14.9,0.4,4265.0,-0.383,1.795,2.4652,46.54,MEDIUM,1
2020-05-19,2020,5,140,Wheat,1367.26,2553.22,5013.82,13486.85,5891.0,4,0,37.4,19.1,0.1,4087.0,-0.135,1.867,2.3996,37.54,MEDIUM,1
2020-05-20,2020,5,141,Tomato,1286.32,2643.96,5366.91,12933.1,5633.0,7,0,36.4,21.4,0.7,4664.0,-0.831,2.055,2.4376,62.36,MEDIUM,1
2020-05-21,2020,5,142,Onion,1342.92,2530.02,4710.77,10216.94,4561.0,6,0,38.6,14.3,0.5,4173.0,-0.564,1.884,2.2655,48.53,MEDIUM,1
2020-05-22,2020,5,143,Sugar,1311.88,2441.24,4833.77,11409.71,5082.0,6,0,35.9,18.6,1.1,4198.0,-0.398,1.861,2.2581,47.84,MEDIUM,1
2020-05-23,2020,5,144,Milk,1266.86,2319.85,4460.53,10882.57,4910.0,5,0,37.8,18.9,0.2,4152.0,-0.702,1.831,2.2541,43.84,MEDIUM,1
2020-05-24,2020,5,145,Rice,1364.12,2442.53,4366.8,10598.48,4782.0,5,0,38.9,17.9,0.2,4226.0,-0.236,1.791,2.1188,40.22,MEDIUM,1
2020-05-25,2020,5,146,Wheat,1290.33,2241.66,4619.76,10916.24,4827.0,6,0,40.0,22.7,0.8,4200.0,-0.288,1.737,2.1656,45.92,MEDIUM,1
2020-05-26,2020,5,147,Tomato,1358.93,2324.17,4554.88,11673.77,5144.0,6,1,36.2,20.3,0.5,4005.0,-0.362,1.71,2.0999,73.36,HIGH,2
2020-05-27,2020,5,148,Onion,1371.73,2506.71,5068.59,13087.15,5729.0,5,0,36.1,20.6,0.0,4189.0,-0.068,1.827,2.0792,38.42,MEDIUM,1
2020-05-28,2020,5,149,Sugar,1191.14,2224.81,4330.51,10779.24,4862.0,5,0,37.5,18.6,0.2,4503.0,-0.478,1.868,2.1626,44.86,MEDIUM,1
2020-05-29,2020,5,150,Milk,1402.77,2588.89,5756.25,13854.28,6027.0,4,1,40.1,16.9,0.0,4140.0,-0.966,1.846,2.1553,68.56,HIGH,2
2020-05-30,2020,5,151,Rice,1219.68,2271.45,4781.44,11457.88,5126.0,5,0,37.6,20.7,0.4,4522.0,-0.595,1.862,2.095,44.62,MEDIUM,1
2020-05-31,2020,5,152,Wheat,1265.75,2466.76,5145.49,12364.74,5496.0,6,0,35.9,23.2,0.4,4157.0,-0.343,1.949,2.2404,46.89,MEDIUM,1
