Date,City,State,Country,Product,Temperature,Humidity,Rainfall,WindSpeed,CommodityPrice,FuelPrice,Demand,Inventory,LeadTime,TransportDelay,Festival,Holiday,MarketSentiment,GovernmentAlert,PortDelay,RailwayDelay,RiskLevel
2025-01-30,Bengaluru,Karnataka,India,Banana,36.5,62,124,3.0,86,105.0,1403,1502,4,9,0,1,Neutral,1,0,0,High
2025-01-31,Nashik,Maharashtra,India,Tomato,19.5,52,154,10.4,93,99.1,1146,2946,8,1,1,1,Negative,0,1,1,Medium
2025-02-01,Pune,Maharashtra,India,Sugar,34.8,46,173,17.3,95,105.09,2817,2785,8,1,1,0,Neutral,0,1,1,High
2025-02-02,Delhi,Delhi,India,Onion,21.1,78,114,17.3,60,97.85,2705,1860,9,4,0,1,Negative,1,1,1,Medium
2025-02-03,Nashik,Maharashtra,India,Milk,24.6,45,42,23.9,58,99.94,1038,2555,5,10,0,1,Positive,0,0,1,Low
2025-02-04,Mumbai,Maharashtra,India,Onion,22.5,66,60,23.1,50,90.5,529,2183,8,7,0,1,Neutral,1,0,1,Medium
2025-02-05,Nashik,Maharashtra,India,Sugar,23.8,82,63,12.7,106,104.46,2485,1132,7,5,1,1,Positive,0,1,1,High
2025-02-06,Bengaluru,Karnataka,India,Banana,22.7,48,116,21.1,86,102.89,1163,1104,5,2,0,0,Negative,1,1,0,High
2025-02-07,Pune,Maharashtra,India,Onion,27.7,47,80,28.0,49,108.91,1734,1114,7,1,0,1,Neutral,0,0,0,Medium
2025-02-08,Pune,Maharashtra,India,Apple,30.4,60,15,12.0,110,93.54,1848,1349,2,2,1,0,Positive,0,1,1,High
2025-02-09,Mumbai,Maharashtra,India,Wheat,27.3,75,154,4.3,103,97.0,1985,974,10,1,1,1,Negative,0,1,1,High
2025-02-10,Kolkata,West Bengal,India,Milk,24.3,69,88,28.3,44,93.08,501,2329,9,7,1,0,Positive,1,0,1,Medium
2025-02-11,Nashik,Maharashtra,India,Tomato,23.2,61,134,20.8,108,99.1,2246,623,8,7,1,0,Positive,1,0,1,High
2025-02-12,Mumbai,Maharashtra,India,Wheat,35.1,72,134,17.3,21,99.1,2567,2637,3,8,0,1,Neutral,0,0,0,Medium
2025-02-13,Chennai,Tamil Nadu,India,Tomato,39.7,40,179,5.5,58,109.12,2602,1765,10,1,0,0,Negative,1,0,0,High
2025-02-14,Delhi,Delhi,India,Tomato,25.2,37,204,5.3,39,108.93,2337,2216,5,0,1,0,Neutral,1,0,1,High
2025-02-15,Nashik,Maharashtra,India,Banana,39.1,86,63,11.5,97,90.08,2324,880,2,0,0,1,Negative,1,0,0,High
2025-02-16,Nashik,Maharashtra,India,Tomato,23.2,64,76,20.0,50,104.7,1141,1029,9,7,0,0,Positive,0,0,0,Medium
2025-02-17,Kolkata,West Bengal,India,Milk,31.5,75,128,27.5,106,94.33,553,1989,2,9,0,1,Negative,1,1,1,High
2025-02-18,Hyderabad,Telangana,India,Onion,41.2,52,217,16.8,22,96.59,551,1395,3,5,0,1,Negative,1,1,1,Medium
2025-02-19,Hyderabad,Telangana,India,Sugar,27.5,64,8,20.3,89,92.77,1868,1534,2,10,0,0,Negative,0,0,0,High
2025-02-20,Kolkata,West Bengal,India,Milk,28.7,88,207,7.9,49,108.56,2946,2051,6,6,0,1,Negative,1,0,0,High
2025-02-21,Kolkata,West Bengal,India,Apple,34.7,68,89,27.2,22,103.54,1489,820,10,4,1,1,Negative,0,1,0,Medium
2025-02-22,Kolkata,West Bengal,India,Rice,25.6,90,92,26.5,27,100.35,2679,1974,3,7,1,1,Neutral,1,0,1,High
2025-02-23,Bengaluru,Karnataka,India,Rice,19.9,45,153,18.1,58,109.28,2083,2883,6,10,0,0,Negative,0,1,0,Medium
2025-02-24,Mumbai,Maharashtra,India,Potato,37.6,53,207,29.2,113,105.18,632,2721,6,8,1,0,Positive,0,1,0,High
2025-02-25,Pune,Maharashtra,India,Banana,24.0,39,218,8.2,93,95.35,799,2381,4,3,1,1,Neutral,1,1,0,High
2025-02-26,Mumbai,Maharashtra,India,Milk,41.0,57,166,12.7,103,104.59,2430,2774,2,2,0,1,Positive,0,0,0,Medium
2025-02-27,Kolkata,West Bengal,India,Banana,21.5,73,27,11.4,26,90.96,1287,2307,9,10,1,0,Neutral,1,1,0,Medium
2025-02-28,Bengaluru,Karnataka,India,Banana,21.6,70,154,24.5,48,94.6,715,2976,8,4,1,0,Neutral,1,1,0,Medium
2025-03-01,Hyderabad,Telangana,India,Wheat,34.7,66,13,9.6,83,98.34,1603,1773,5,8,0,1,Neutral,1,0,1,High
2025-03-02,Bengaluru,Karnataka,India,Sugar,22.9,75,23,25.8,24,98.49,2293,1740,3,0,1,1,Neutral,0,0,1,Medium
2025-03-03,Kolkata,West Bengal,India,Cooking Oil,22.9,75,98,3.0,72,96.85,1813,631,4,1,0,0,Negative,0,1,0,Medium
2025-03-04,Kolkata,West Bengal,India,Wheat,28.9,89,9,24.0,116,103.62,716,2260,5,6,1,1,Positive,0,1,1,Medium
2025-03-05,Chennai,Tamil Nadu,India,Milk,26.7,58,152,23.5,49,90.07,923,812,6,1,0,1,Negative,0,1,0,Medium
2025-03-06,Kolkata,West Bengal,India,Potato,33.3,44,11,15.0,32,99.61,1906,2903,6,6,1,1,Neutral,1,0,1,Medium
2025-03-07,Bengaluru,Karnataka,India,Apple,23.3,36,190,9.6,106,102.05,766,2344,1,8,0,0,Positive,0,1,0,High
2025-03-08,Mumbai,Maharashtra,India,Sugar,26.4,37,31,24.8,117,98.04,988,1811,3,10,0,0,Neutral,1,1,0,High
2025-03-09,Nashik,Maharashtra,India,Cooking Oil,23.8,92,128,24.3,110,94.26,1600,2924,2,10,1,1,Positive,0,0,0,High
2025-03-10,Chennai,Tamil Nadu,India,Tomato,27.7,68,29,29.1,75,92.32,2666,862,8,4,1,1,Positive,1,0,0,High
2025-03-11,Pune,Maharashtra,India,Cooking Oil,29.5,42,172,16.1,60,91.04,1023,2036,1,4,0,1,Neutral,1,1,0,Medium
2025-03-12,Bengaluru,Karnataka,India,Rice,24.1,91,159,17.2,99,99.17,1470,807,7,4,0,0,Negative,1,1,1,High
2025-03-13,Chennai,Tamil Nadu,India,Onion,34.3,53,130,12.2,112,108.02,1876,2771,9,0,1,1,Negative,1,1,0,High
2025-03-14,Hyderabad,Telangana,India,Apple,34.5,60,104,3.1,99,102.99,1465,2251,1,7,1,1,Neutral,1,0,0,High
2025-03-15,Bengaluru,Karnataka,India,Onion,19.0,59,173,2.7,96,105.84,1206,861,5,1,1,0,Neutral,1,0,1,High
2025-03-16,Chennai,Tamil Nadu,India,Milk,21.1,76,93,28.4,106,99.32,2619,1970,6,7,1,0,Positive,0,0,1,High
2025-03-17,Chennai,Tamil Nadu,India,Milk,32.9,85,7,17.2,107,93.59,2022,978,4,4,0,0,Neutral,0,1,1,Medium
2025-03-18,Chennai,Tamil Nadu,India,Banana,26.5,38,135,15.6,77,92.66,1606,1635,10,9,1,1,Negative,1,1,1,High
2025-03-19,Hyderabad,Telangana,India,Wheat,36.2,84,7,20.3,44,91.67,1641,1575,4,4,0,0,Neutral,1,0,1,Medium
2025-03-20,Nashik,Maharashtra,India,Sugar,32.7,36,155,10.6,71,95.55,2523,2506,7,1,0,0,Positive,0,1,0,Medium
2025-03-21,Delhi,Delhi,India,Wheat,28.4,62,113,2.1,60,91.66,944,975,1,9,1,0,Neutral,1,1,0,Medium
2025-03-22,Kolkata,West Bengal,India,Wheat,19.1,42,16,19.9,54,90.68,2981,1884,2,10,0,0,Positive,0,0,1,Medium
2025-03-23,Mumbai,Maharashtra,India,Rice,22.4,42,117,15.9,34,101.82,1515,2248,8,0,0,1,Negative,0,1,1,Low
2025-03-24,Hyderabad,Telangana,India,Milk,34.3,38,131,20.6,43,97.77,2331,2565,7,9,1,1,Positive,1,1,1,High
2025-03-25,Nashik,Maharashtra,India,Sugar,18.9,82,169,17.1,35,90.94,1106,2003,3,5,1,0,Neutral,1,0,1,Medium
2025-03-26,Delhi,Delhi,India,Banana,24.0,93,115,12.7,53,104.23,1184,1811,4,7,1,1,Neutral,0,0,0,Medium
2025-03-27,Mumbai,Maharashtra,India,Rice,20.5,67,115,24.9,64,99.01,1456,2980,10,10,1,0,Neutral,0,1,1,Medium
2025-03-28,Delhi,Delhi,India,Milk,35.5,45,132,6.9,100,100.74,2222,2552,4,1,0,1,Positive,0,0,0,Medium
2025-03-29,Delhi,Delhi,India,Tomato,18.4,60,12,7.9,105,93.8,2809,1507,2,5,0,1,Positive,1,1,0,High
2025-03-30,Delhi,Delhi,India,Sugar,33.6,81,95,23.1,105,92.84,1495,2505,3,0,0,1,Neutral,1,1,1,Medium
2025-03-31,Mumbai,Maharashtra,India,Potato,33.9,57,178,29.9,119,104.0,2650,2926,1,4,0,0,Negative,1,0,0,High
2025-04-01,Nashik,Maharashtra,India,Banana,31.6,74,180,16.0,68,108.61,1372,1830,2,5,1,1,Neutral,0,1,0,Medium
2025-04-02,Hyderabad,Telangana,India,Rice,23.9,89,186,26.9,98,101.4,2201,2950,9,3,0,1,Positive,1,1,0,High
2025-04-03,Mumbai,Maharashtra,India,Onion,25.2,81,144,16.9,59,100.96,891,1525,10,9,1,0,Negative,0,1,1,Medium
2025-04-04,Hyderabad,Telangana,India,Sugar,19.8,51,199,20.4,47,106.7,661,1867,1,4,1,0,Positive,1,0,0,Medium
2025-04-05,Hyderabad,Telangana,India,Onion,20.9,69,71,15.2,99,109.19,2444,1216,2,10,0,1,Neutral,1,1,0,High
2025-04-06,Delhi,Delhi,India,Milk,27.3,45,153,10.5,60,92.65,2460,2848,3,9,1,0,Neutral,1,1,1,High
2025-04-07,Mumbai,Maharashtra,India,Sugar,21.5,55,123,13.9,20,92.97,1395,2869,9,2,0,0,Positive,0,0,0,Low
2025-04-08,Chennai,Tamil Nadu,India,Banana,35.8,43,119,8.1,77,99.05,2630,1712,6,9,1,0,Positive,1,0,1,High
2025-04-09,Pune,Maharashtra,India,Cooking Oil,25.9,75,34,8.0,93,93.09,2594,2723,9,8,0,0,Negative,0,0,1,Medium
2025-04-10,Mumbai,Maharashtra,India,Banana,23.2,36,2,12.7,98,90.91,504,1460,1,4,1,1,Negative,0,0,0,Medium
