Date,City,State,Country,Product,Temperature,Humidity,Rainfall,WindSpeed,CommodityPrice,FuelPrice,Demand,Inventory,LeadTime,TransportDelay,Festival,Holiday,MarketSentiment,GovernmentAlert,PortDelay,RailwayDelay,RiskLevel,InventoryGap,InventoryRatio,DemandSupplyRatio,WeatherSeverity,SupplyStress,TransportRisk,FuelImpact,MarketRisk,DelayScore,ExternalDisruption
2025-01-14,Pune,Maharashtra,India,Tomato,18.8,47,106,13.6,65,105.26,890,1337,2,8,0,0,Negative,1,0,1,Medium,-447,1.5,0.67,48.8,130,4.0,842.08,2,10,1
2025-01-15,Nashik,Maharashtra,India,Cooking Oil,37.6,41,41,18.7,33,103.62,630,1134,10,0,1,1,Negative,0,1,1,Low,-504,1.8,0.56,22.67,330,0.0,0.0,2,4,2
2025-01-16,Bengaluru,Karnataka,India,Milk,29.8,64,205,12.7,110,101.67,2316,1464,8,7,0,0,Neutral,1,0,1,High,852,0.63,1.58,90.53,880,0.88,711.69,1,9,1
2025-01-17,Pune,Maharashtra,India,Banana,34.4,87,174,13.2,22,95.04,2858,1532,9,7,0,1,Positive,0,0,1,High,1326,0.54,1.87,77.52,198,0.78,665.28,0,9,1
2025-01-18,Kolkata,West Bengal,India,Apple,26.8,87,31,28.8,57,101.98,1327,928,1,2,0,0,Negative,0,0,1,Medium,399,0.7,1.43,21.29,57,2.0,203.96,2,4,0
2025-01-19,Kolkata,West Bengal,India,Tomato,38.2,93,85,25.2,44,106.4,1419,2641,7,7,0,0,Negative,0,0,0,Low,-1222,1.86,0.54,43.17,308,1.0,744.8,2,7,0
2025-01-20,Kolkata,West Bengal,India,Rice,34.6,50,185,13.9,114,90.61,2267,1251,4,10,1,1,Neutral,0,0,1,High,1016,0.55,1.81,82.39,456,2.5,906.1,1,12,2
2025-01-21,Nashik,Maharashtra,India,Banana,36.1,80,220,12.8,35,100.93,2773,967,10,8,1,0,Positive,1,0,0,High,1806,0.35,2.87,96.92,350,0.8,807.44,0,8,2
2025-01-22,Bengaluru,Karnataka,India,Onion,24.1,58,140,22.6,35,100.79,1579,2695,4,1,1,0,Negative,0,0,1,Medium,-1116,1.71,0.59,65.76,140,0.25,100.79,2,3,1
2025-01-23,Hyderabad,Telangana,India,Onion,29.1,82,197,13.1,86,105.29,1894,2531,7,10,1,0,Negative,0,0,0,High,-637,1.34,0.75,87.25,602,1.43,1052.9,2,10,1
2025-01-24,Kolkata,West Bengal,India,Rice,26.8,87,188,13.9,99,100.9,2954,1408,3,3,0,0,Negative,1,1,1,High,1546,0.48,2.1,83.66,297,1.0,302.7,2,7,1
2025-01-25,Bengaluru,Karnataka,India,Onion,33.1,37,54,17.7,99,96.38,1730,1287,8,1,0,0,Positive,1,1,1,High,443,0.74,1.34,27.91,792,0.12,96.38,0,5,1
2025-01-26,Delhi,Delhi,India,Sugar,22.0,88,63,21.4,67,105.99,688,916,7,9,1,1,Positive,0,0,0,Medium,-228,1.33,0.75,32.77,469,1.29,953.91,0,9,2
2025-01-27,Kolkata,West Bengal,India,Milk,30.5,73,125,6.0,78,105.21,2128,1991,5,8,1,0,Positive,0,1,1,High,137,0.94,1.07,54.71,390,1.6,841.68,0,12,1
2025-01-28,Bengaluru,Karnataka,India,Onion,25.7,84,219,22.7,96,106.39,2138,2663,9,9,0,1,Neutral,1,0,0,High,-525,1.25,0.8,99.29,864,1.0,957.51,1,9,2
2025-01-29,Pune,Maharashtra,India,Banana,22.0,52,203,8.2,49,99.51,2260,1180,1,9,0,0,Negative,1,0,1,High,1080,0.52,1.92,88.41,49,9.0,895.59,2,11,1
2025-01-30,Bengaluru,Karnataka,India,Banana,36.5,62,124,3.0,86,105.0,1403,1502,4,9,0,1,Neutral,1,0,0,High,-99,1.07,0.93,53.44,344,2.25,945.0,1,9,2
2025-01-31,Nashik,Maharashtra,India,Tomato,19.5,52,154,10.4,93,99.1,1146,2946,8,1,1,1,Negative,0,1,1,Medium,-1800,2.57,0.39,68.25,744,0.12,99.1,2,5,2
2025-02-01,Pune,Maharashtra,India,Sugar,34.8,46,173,17.3,95,105.09,2817,2785,8,1,1,0,Neutral,0,1,1,High,32,0.99,1.01,78.26,760,0.12,105.09,1,5,1
2025-02-02,Delhi,Delhi,India,Onion,21.1,78,114,17.3,60,97.85,2705,1860,9,4,0,1,Negative,1,1,1,Medium,845,0.69,1.45,53.24,540,0.44,391.4,2,8,2
2025-02-03,Nashik,Maharashtra,India,Milk,24.6,45,42,23.9,58,99.94,1038,2555,5,10,0,1,Positive,0,0,1,Low,-1517,2.46,0.41,24.57,290,2.0,999.4,0,12,1
2025-02-04,Mumbai,Maharashtra,India,Onion,22.5,66,60,23.1,50,90.5,529,2183,8,7,0,1,Neutral,1,0,1,Medium,-1654,4.13,0.24,31.98,400,0.88,633.5,1,9,2
2025-02-05,Nashik,Maharashtra,India,Sugar,23.8,82,63,12.7,106,104.46,2485,1132,7,5,1,1,Positive,0,1,1,High,1353,0.46,2.2,30.31,742,0.71,522.3,0,9,2
2025-02-06,Bengaluru,Karnataka,India,Banana,22.7,48,116,21.1,86,102.89,1163,1104,5,2,0,0,Negative,1,1,0,High,59,0.95,1.05,55.16,430,0.4,205.78,2,4,1
2025-02-07,Pune,Maharashtra,India,Onion,27.7,47,80,28.0,49,108.91,1734,1114,7,1,0,1,Neutral,0,0,0,Medium,620,0.64,1.56,41.84,343,0.14,108.91,1,1,1
2025-02-08,Pune,Maharashtra,India,Apple,30.4,60,15,12.0,110,93.54,1848,1349,2,2,1,0,Positive,0,1,1,High,499,0.73,1.37,9.75,220,1.0,187.08,0,6,1
2025-02-09,Mumbai,Maharashtra,India,Wheat,27.3,75,154,4.3,103,97.0,1985,974,10,1,1,1,Negative,0,1,1,High,1011,0.49,2.04,66.53,1030,0.1,97.0,2,5,2
2025-02-10,Kolkata,West Bengal,India,Milk,24.3,69,88,28.3,44,93.08,501,2329,9,7,1,0,Positive,1,0,1,Medium,-1828,4.65,0.22,45.32,396,0.78,651.56,0,9,2
2025-02-11,Nashik,Maharashtra,India,Tomato,23.2,61,134,20.8,108,99.1,2246,623,8,7,1,0,Positive,1,0,1,High,1623,0.28,3.61,62.71,864,0.88,693.7,0,9,2
2025-02-12,Mumbai,Maharashtra,India,Wheat,35.1,72,134,17.3,21,99.1,2567,2637,3,8,0,1,Neutral,0,0,0,Medium,-70,1.03,0.97,61.72,63,2.67,792.8,1,8,1
2025-02-13,Chennai,Tamil Nadu,India,Tomato,39.7,40,179,5.5,58,109.12,2602,1765,10,1,0,0,Negative,1,0,0,High,837,0.68,1.47,77.47,580,0.1,109.12,2,1,1
2025-02-14,Delhi,Delhi,India,Tomato,25.2,37,204,5.3,39,108.93,2337,2216,5,0,1,0,Neutral,1,0,1,High,121,0.95,1.05,88.01,195,0.0,0.0,1,2,2
2025-02-15,Nashik,Maharashtra,India,Banana,39.1,86,63,11.5,97,90.08,2324,880,2,0,0,1,Negative,1,0,0,High,1444,0.38,2.64,29.97,194,0.0,0.0,2,0,2
2025-02-16,Nashik,Maharashtra,India,Tomato,23.2,64,76,20.0,50,104.7,1141,1029,9,7,0,0,Positive,0,0,0,Medium,112,0.9,1.11,37.89,450,0.78,732.9,0,7,0
2025-02-17,Kolkata,West Bengal,India,Milk,31.5,75,128,27.5,106,94.33,553,1989,2,9,0,1,Negative,1,1,1,High,-1436,3.6,0.28,62.06,212,4.5,848.97,2,13,2
2025-02-18,Hyderabad,Telangana,India,Onion,41.2,52,217,16.8,22,96.59,551,1395,3,5,0,1,Negative,1,1,1,Medium,-844,2.53,0.39,96.78,66,1.67,482.95,2,9,2
2025-02-19,Hyderabad,Telangana,India,Sugar,27.5,64,8,20.3,89,92.77,1868,1534,2,10,0,0,Negative,0,0,0,High,334,0.82,1.22,9.13,178,5.0,927.7,2,10,0
2025-02-20,Kolkata,West Bengal,India,Milk,28.7,88,207,7.9,49,108.56,2946,2051,6,6,0,1,Negative,1,0,0,High,895,0.7,1.44,90.02,294,1.0,651.36,2,6,2
2025-02-21,Kolkata,West Bengal,India,Apple,34.7,68,89,27.2,22,103.54,1489,820,10,4,1,1,Negative,0,1,0,Medium,669,0.55,1.82,45.43,220,0.4,414.16,2,6,2
2025-02-22,Kolkata,West Bengal,India,Rice,25.6,90,92,26.5,27,100.35,2679,1974,3,7,1,1,Neutral,1,0,1,High,705,0.74,1.36,46.51,81,2.33,702.45,1,9,3
2025-02-23,Bengaluru,Karnataka,India,Rice,19.9,45,153,18.1,58,109.28,2083,2883,6,10,0,0,Negative,0,1,0,Medium,-800,1.38,0.72,70.0,348,1.67,1092.8,2,12,0
2025-02-24,Mumbai,Maharashtra,India,Potato,37.6,53,207,29.2,113,105.18,632,2721,6,8,1,0,Positive,0,1,0,High,-2089,4.31,0.23,96.04,678,1.33,841.44,0,10,1
2025-02-25,Pune,Maharashtra,India,Banana,24.0,39,218,8.2,93,95.35,799,2381,4,3,1,1,Neutral,1,1,0,High,-1582,2.98,0.34,94.77,372,0.75,286.05,1,5,3
2025-02-26,Mumbai,Maharashtra,India,Milk,41.0,57,166,12.7,103,104.59,2430,2774,2,2,0,1,Positive,0,0,0,Medium,-344,1.14,0.88,73.99,206,1.0,209.18,0,2,1
2025-02-27,Kolkata,West Bengal,India,Banana,21.5,73,27,11.4,26,90.96,1287,2307,9,10,1,0,Neutral,1,1,0,Medium,-1020,1.79,0.56,14.67,234,1.11,909.6,1,12,2
2025-02-28,Bengaluru,Karnataka,India,Banana,21.6,70,154,24.5,48,94.6,715,2976,8,4,1,0,Neutral,1,1,0,Medium,-2261,4.16,0.24,72.24,384,0.5,378.4,1,6,2
2025-03-01,Hyderabad,Telangana,India,Wheat,34.7,66,13,9.6,83,98.34,1603,1773,5,8,0,1,Neutral,1,0,1,High,-170,1.11,0.9,8.23,415,1.6,786.72,1,10,2
2025-03-02,Bengaluru,Karnataka,India,Sugar,22.9,75,23,25.8,24,98.49,2293,1740,3,0,1,1,Neutral,0,0,1,Medium,553,0.76,1.32,17.05,72,0.0,0.0,1,2,2
2025-03-03,Kolkata,West Bengal,India,Cooking Oil,22.9,75,98,3.0,72,96.85,1813,631,4,1,0,0,Negative,0,1,0,Medium,1182,0.35,2.87,42.41,288,0.25,96.85,2,3,0
2025-03-04,Kolkata,West Bengal,India,Wheat,28.9,89,9,24.0,116,103.62,716,2260,5,6,1,1,Positive,0,1,1,Medium,-1544,3.16,0.32,10.6,580,1.2,621.72,0,10,2
2025-03-05,Chennai,Tamil Nadu,India,Milk,26.7,58,152,23.5,49,90.07,923,812,6,1,0,1,Negative,0,1,0,Medium,111,0.88,1.14,71.11,294,0.17,90.07,2,3,1
2025-03-06,Kolkata,West Bengal,India,Potato,33.3,44,11,15.0,32,99.61,1906,2903,6,6,1,1,Neutral,1,0,1,Medium,-997,1.52,0.66,8.91,192,1.0,597.66,1,8,3
2025-03-07,Bengaluru,Karnataka,India,Apple,23.3,36,190,9.6,106,102.05,766,2344,1,8,0,0,Positive,0,1,0,High,-1578,3.06,0.33,83.29,106,8.0,816.4,0,10,0
2025-03-08,Mumbai,Maharashtra,India,Sugar,26.4,37,31,24.8,117,98.04,988,1811,3,10,0,0,Neutral,1,1,0,High,-823,1.83,0.55,20.16,351,3.33,980.4,1,12,1
2025-03-09,Nashik,Maharashtra,India,Cooking Oil,23.8,92,128,24.3,110,94.26,1600,2924,2,10,1,1,Positive,0,0,0,High,-1324,1.83,0.55,61.15,220,5.0,942.6,0,10,2
2025-03-10,Chennai,Tamil Nadu,India,Tomato,27.7,68,29,29.1,75,92.32,2666,862,8,4,1,1,Positive,1,0,0,High,1804,0.32,3.09,20.53,600,0.5,369.28,0,4,3
2025-03-11,Pune,Maharashtra,India,Cooking Oil,29.5,42,172,16.1,60,91.04,1023,2036,1,4,0,1,Neutral,1,1,0,Medium,-1013,1.99,0.5,77.5,60,4.0,364.16,1,6,2
2025-03-12,Bengaluru,Karnataka,India,Rice,24.1,91,159,17.2,99,99.17,1470,807,7,4,0,0,Negative,1,1,1,High,663,0.55,1.82,72.29,693,0.57,396.68,2,8,1
2025-03-13,Chennai,Tamil Nadu,India,Onion,34.3,53,130,12.2,112,108.02,1876,2771,9,0,1,1,Negative,1,1,0,High,-895,1.48,0.68,58.58,1008,0.0,0.0,2,2,3
2025-03-14,Hyderabad,Telangana,India,Apple,34.5,60,104,3.1,99,102.99,1465,2251,1,7,1,1,Neutral,1,0,0,High,-786,1.54,0.65,44.98,99,7.0,720.93,1,7,3
2025-03-15,Bengaluru,Karnataka,India,Onion,19.0,59,173,2.7,96,105.84,1206,861,5,1,1,0,Neutral,1,0,1,High,345,0.71,1.4,74.13,480,0.2,105.84,1,3,2
2025-03-16,Chennai,Tamil Nadu,India,Milk,21.1,76,93,28.4,106,99.32,2619,1970,6,7,1,0,Positive,0,0,1,High,649,0.75,1.33,47.47,636,1.17,695.24,0,9,1
2025-03-17,Chennai,Tamil Nadu,India,Milk,32.9,85,7,17.2,107,93.59,2022,978,4,4,0,0,Neutral,0,1,1,Medium,1044,0.48,2.07,7.83,428,1.0,374.36,1,8,0
2025-03-18,Chennai,Tamil Nadu,India,Banana,26.5,38,135,15.6,77,92.66,1606,1635,10,9,1,1,Negative,1,1,1,High,-29,1.02,0.98,61.66,770,0.9,833.94,2,13,3
2025-03-19,Hyderabad,Telangana,India,Wheat,36.2,84,7,20.3,44,91.67,1641,1575,4,4,0,0,Neutral,1,0,1,Medium,66,0.96,1.04,8.71,176,1.0,366.68,1,6,1
2025-03-20,Nashik,Maharashtra,India,Sugar,32.7,36,155,10.6,71,95.55,2523,2506,7,1,0,0,Positive,0,1,0,Medium,17,0.99,1.01,68.73,497,0.14,95.55,0,3,0
2025-03-21,Delhi,Delhi,India,Wheat,28.4,62,113,2.1,60,91.66,944,975,1,9,1,0,Neutral,1,1,0,Medium,-31,1.03,0.97,48.52,60,9.0,824.94,1,11,2
2025-03-22,Kolkata,West Bengal,India,Wheat,19.1,42,16,19.9,54,90.68,2981,1884,2,10,0,0,Positive,0,0,1,Medium,1097,0.63,1.58,12.41,108,5.0,906.8,0,12,0
2025-03-23,Mumbai,Maharashtra,India,Rice,22.4,42,117,15.9,34,101.82,1515,2248,8,0,0,1,Negative,0,1,1,Low,-733,1.48,0.67,54.11,272,0.0,0.0,2,4,1
2025-03-24,Hyderabad,Telangana,India,Milk,34.3,38,131,20.6,43,97.77,2331,2565,7,9,1,1,Positive,1,1,1,High,-234,1.1,0.91,61.38,301,1.29,879.93,0,13,3
2025-03-25,Nashik,Maharashtra,India,Sugar,18.9,82,169,17.1,35,90.94,1106,2003,3,5,1,0,Neutral,1,0,1,Medium,-897,1.81,0.55,76.51,105,1.67,454.7,1,7,2
2025-03-26,Delhi,Delhi,India,Banana,24.0,93,115,12.7,53,104.23,1184,1811,4,7,1,1,Neutral,0,0,0,Medium,-627,1.53,0.65,52.36,212,1.75,729.61,1,7,2
2025-03-27,Mumbai,Maharashtra,India,Rice,20.5,67,115,24.9,64,99.01,1456,2980,10,10,1,0,Neutral,0,1,1,Medium,-1524,2.05,0.49,55.81,640,1.0,990.1,1,14,1
2025-03-28,Delhi,Delhi,India,Milk,35.5,45,132,6.9,100,100.74,2222,2552,4,1,0,1,Positive,0,0,0,Medium,-330,1.15,0.87,57.93,400,0.25,100.74,0,1,1
2025-03-29,Delhi,Delhi,India,Tomato,18.4,60,12,7.9,105,93.8,2809,1507,2,5,0,1,Positive,1,1,0,High,1302,0.54,1.86,7.32,210,2.5,469.0,0,7,2
2025-03-30,Delhi,Delhi,India,Sugar,33.6,81,95,23.1,105,92.84,1495,2505,3,0,0,1,Neutral,1,1,1,Medium,-1010,1.68,0.6,46.82,315,0.0,0.0,1,4,2
2025-03-31,Mumbai,Maharashtra,India,Potato,33.9,57,178,29.9,119,104.0,2650,2926,1,4,0,0,Negative,1,0,0,High,-276,1.1,0.91,83.94,119,4.0,416.0,2,4,1
2025-04-01,Nashik,Maharashtra,India,Banana,31.6,74,180,16.0,68,108.61,1372,1830,2,5,1,1,Neutral,0,1,0,Medium,-458,1.33,0.75,80.86,136,2.5,543.05,1,7,2
2025-04-02,Hyderabad,Telangana,India,Rice,23.9,89,186,26.9,98,101.4,2201,2950,9,3,0,1,Positive,1,1,0,High,-749,1.34,0.75,86.49,882,0.33,304.2,0,5,2
2025-04-03,Mumbai,Maharashtra,India,Onion,25.2,81,144,16.9,59,100.96,891,1525,10,9,1,0,Negative,0,1,1,Medium,-634,1.71,0.58,65.85,590,0.9,908.64,2,13,1
2025-04-04,Hyderabad,Telangana,India,Sugar,19.8,51,199,20.4,47,106.7,661,1867,1,4,1,0,Positive,1,0,0,Medium,-1206,2.82,0.35,90.16,47,4.0,426.8,0,4,2
2025-04-05,Hyderabad,Telangana,India,Onion,20.9,69,71,15.2,99,109.19,2444,1216,2,10,0,1,Neutral,1,1,0,High,1228,0.5,2.01,34.41,198,5.0,1091.9,1,12,2
2025-04-06,Delhi,Delhi,India,Milk,27.3,45,153,10.5,60,92.65,2460,2848,3,9,1,0,Neutral,1,1,1,High,-388,1.16,0.86,67.85,180,3.0,833.85,1,13,2
2025-04-07,Mumbai,Maharashtra,India,Sugar,21.5,55,123,13.9,20,92.97,1395,2869,9,2,0,0,Positive,0,0,0,Low,-1474,2.06,0.49,56.09,180,0.22,185.94,0,2,0
2025-04-08,Chennai,Tamil Nadu,India,Banana,35.8,43,119,8.1,77,99.05,2630,1712,6,9,1,0,Positive,1,0,1,High,918,0.65,1.54,52.76,462,1.5,891.45,0,11,2
2025-04-09,Pune,Maharashtra,India,Cooking Oil,25.9,75,34,8.0,93,93.09,2594,2723,9,8,0,0,Negative,0,0,1,Medium,-129,1.05,0.95,16.68,837,0.89,744.72,2,10,0
2025-04-10,Mumbai,Maharashtra,India,Banana,23.2,36,2,12.7,98,90.91,504,1460,1,4,1,1,Negative,0,0,0,Medium,-956,2.9,0.35,4.44,98,4.0,363.64,2,4,2
