Date,Consumer_Demand,Product_Price,Sales,Order_Total,Discount_Rate,Actual_Shipping_Days,Scheduled_Shipping_Days,Late_Delivery_Risk,Shipping_Delay_Days,Product_Category,Shipping_Mode,Market,Order_Region,Customer_Segment,Retailer_Order,Wholesaler_Order,Manufacturer_Order,Demand_Amplification,Bullwhip_Ratio,Lead_Time_Days,Supply_Disruption_Rate,Supply_Disruption,Inventory_Level,Price_Stress,Risk_Score,Risk_Label,Risk_Level_Num,Year,Month,Day_of_Year
2015-02-15,31,115.95457517573332,3065.630569893,2847.87837154,0.04552016246666667,3.1333333333333333,2.933333333333333,0.4,0.7333333333333333,Men's Footwear,Standard Class,Europe,Central America,Consumer,51.6655,107.1441,411.4861,1.6666,1.7575,3.13,0.4,0,583.59,0.8646,35.15,MEDIUM,1,2015,2,46
2015-02-16,27,107.87777012772727,2551.369559307,2324.046061087,0.04901526618181818,3.8181818181818183,3.272727272727273,0.5454545454545454,0.0,Women's Apparel,Standard Class,LATAM,Central America,Consumer,46.1806,92.4388,272.9382,1.7104,1.7367,3.82,0.545,1,549.79,0.8043,64.73,HIGH,2,2015,2,47
2015-02-17,13,151.47255400657144,1385.293263721,1303.1422798869999,0.042386124000000004,3.0,2.7142857142857144,0.2857142857142857,0.2857142857142857,Cleats,First Class,Europe,Central America,Consumer,25.8794,50.1028,69.6191,1.9907,1.7569,3.0,0.286,0,515.31,1.1294,36.43,MEDIUM,1,2015,2,48
2015-02-18,26,80.634426221625,1597.027334972,1438.002204741,0.076053043625,3.25,1.125,0.5,0.25,Indoor/Outdoor Games,Second Class,LATAM,Caribbean,Consumer,48.1945,81.2556,276.1162,1.8536,1.7393,3.25,0.5,1,555.88,0.6012,64.79,HIGH,2,2015,2,49
2015-02-19,19,80.6530956557143,1217.381377098,1111.90956405,0.05312477671428572,3.7142857142857144,3.142857142857143,0.42857142857142855,0.0,Water Sports,Standard Class,LATAM,Central America,Consumer,28.529,52.8752,87.6764,1.5015,1.7624,3.71,0.429,0,520.17,0.6013,35.25,MEDIUM,1,2015,2,50
2015-02-20,18,121.4736680167778,1595.504004459,1407.065557512,0.08985184244444444,4.777777777777778,2.6666666666666665,0.5555555555555556,1.1111111111111112,Indoor/Outdoor Games,Second Class,Europe,Central America,Consumer,33.3003,46.5312,95.6574,1.85,1.7693,4.78,0.556,1,519.93,0.9057,65.39,HIGH,2,2015,2,51
2015-02-21,22,71.36580704255556,871.196549236,780.2049290360001,0.05212305144444444,3.4444444444444446,3.3333333333333335,0.8888888888888888,-0.1111111111111111,Fishing,Standard Class,Europe,Central America,Corporate,37.914,72.879,187.0565,1.7234,1.7468,3.44,0.889,1,539.83,0.5321,64.94,HIGH,2,2015,2,52
2015-02-22,15,126.89699652733333,1893.395635455,1685.826787557,0.064976325,3.6666666666666665,3.0,0.4444444444444444,-0.4444444444444444,Women's Apparel,Standard Class,Europe,Oceania,Consumer,25.1069,40.3897,190.9665,1.6738,1.7081,3.67,0.444,0,538.89,0.9461,34.16,MEDIUM,1,2015,2,53
2015-02-23,26,90.1561455661,1853.26000202,1668.071499993,0.05606356690000001,3.1,2.7,0.9,0.2,Camping & Hiking,Standard Class,LATAM,South America,Consumer,49.5039,77.8264,543.4797,1.904,1.754,3.1,0.9,1,612.2,0.6722,65.08,HIGH,2,2015,2,54
2015-02-24,23,101.74065467069232,2329.8582042,2205.012844512,0.03411829615384616,3.4615384615384617,3.0,0.38461538461538464,0.0,Camping & Hiking,Standard Class,LATAM,Central America,Consumer,45.6672,92.8056,269.8593,1.9855,1.7496,3.46,0.385,0,555.17,0.7586,34.99,MEDIUM,1,2015,2,55
2015-02-25,16,169.6599950159091,2479.266868318,2227.397110768,0.08933152036363635,4.545454545454546,3.4545454545454546,0.45454545454545453,0.36363636363636365,Indoor/Outdoor Games,Standard Class,LATAM,Northern Europe,Consumer,31.4533,81.455,179.6433,1.9658,1.6774,4.55,0.455,0,535.77,1.265,36.2,MEDIUM,1,2015,2,56
2015-02-26,16,157.4480772836667,2050.9373335,1807.238665218,0.04972586222222222,2.4444444444444446,2.7777777777777777,0.4444444444444444,-0.6666666666666666,Indoor/Outdoor Games,Second Class,LATAM,Central America,Consumer,26.3496,62.0701,175.982,1.6469,1.8382,2.44,0.444,0,538.83,1.1739,38.5,MEDIUM,1,2015,2,57
2015-02-27,23,100.3662324921,2070.778513674,1901.373520482,0.046507485700000004,3.1,2.7,0.4,-1.3,Cleats,Standard Class,LATAM,Central America,Home Office,39.9393,57.1916,183.4839,1.7365,1.8388,3.1,0.4,0,538.74,0.7483,36.78,MEDIUM,1,2015,2,58
2015-02-28,30,155.38316082778573,2823.9577737619998,2505.907274304,0.06111763428571428,3.0,2.7857142857142856,0.7142857142857143,0.21428571428571427,Women's Apparel,Standard Class,LATAM,Central America,Consumer,55.5404,89.3295,187.7552,1.8513,1.8046,3.0,0.714,1,539.27,1.1585,67.68,HIGH,2,2015,2,59
2015-03-01,21,96.66023269399999,1778.725759114,1636.863895876,0.0676406579090909,3.6363636363636362,3.6363636363636362,0.6363636363636364,-0.09090909090909091,Women's Apparel,Standard Class,Pacific Asia,Western Europe,Corporate,41.4656,98.1174,432.4773,1.9746,1.8042,3.64,0.636,1,583.82,0.7207,66.08,HIGH,2,2015,3,60
2015-03-02,9,74.6918091284,553.306605036,487.589828879,0.042826265200000005,3.4,3.0,0.6,0.0,Indoor/Outdoor Games,Standard Class,Europe,Western Europe,Consumer,15.365,24.748,63.074,1.7072,1.7829,3.4,0.6,1,511.46,0.5569,65.66,HIGH,2,2015,3,61
2015-03-03,14,86.295483308,1436.128201575,1306.472347039,0.06024028028571428,4.0,2.7142857142857144,0.5714285714285714,1.0,Cleats,Standard Class,LATAM,Central America,Corporate,24.6131,46.1316,129.1209,1.7581,1.8007,4.0,0.571,1,526.23,0.6434,66.01,HIGH,2,2015,3,62
2015-03-04,17,149.4769658139091,2234.120806374,1996.685447094,0.05755232772727273,3.6363636363636362,2.5454545454545454,0.18181818181818182,0.0,Camping & Hiking,Standard Class,Pacific Asia,West of USA ,Corporate,27.2585,59.6518,177.0865,1.6034,1.8025,3.64,0.182,0,535.66,1.1145,37.19,MEDIUM,1,2015,3,63
2015-03-05,8,130.44639033316665,1279.032042451,1098.967704966,0.07418846183333334,4.333333333333333,2.8333333333333335,0.8333333333333334,0.8333333333333334,Water Sports,Standard Class,Europe,Central America,Consumer,12.7128,20.5341,55.9625,1.5891,1.7764,4.33,0.833,1,510.7,0.9726,65.53,HIGH,2,2015,3,64
2015-03-06,10,185.05676138211112,2159.458214996,1887.421057036,0.06911662422222223,4.222222222222222,3.4444444444444446,0.6666666666666666,-0.2222222222222222,Men's Footwear,Standard Class,LATAM,Central America,Consumer,19.4262,38.8943,122.6723,1.9426,1.7541,4.22,0.667,1,524.68,1.3798,68.88,HIGH,2,2015,3,65
2015-03-07,18,79.03963738280001,1557.314432801,1428.50675484,0.0590309325,3.5,2.9,0.6,-0.3,Cleats,Standard Class,LATAM,Central America,Consumer,36.9211,55.4302,105.0175,2.0512,1.7962,3.5,0.6,1,523.86,0.5893,65.92,HIGH,2,2015,3,66
2015-03-08,15,120.088250506625,1517.259284102,1393.621519085,0.03892896725,4.0,2.875,0.25,-0.25,Men's Footwear,Standard Class,LATAM,Caribbean,Consumer,26.6726,46.3634,89.6707,1.7782,1.7885,4.0,0.25,0,518.98,0.8954,35.77,MEDIUM,1,2015,3,67
2015-03-09,14,178.4165632605,949.222313519,900.81581876,0.05112180300000001,4.5,1.5,0.75,1.25,Water Sports,Second Class,Europe,Southern Europe,Consumer,27.7212,57.9338,92.6925,1.9801,1.8173,4.5,0.75,1,516.94,1.3303,69.65,HIGH,2,2015,3,68
2015-03-10,31,165.51553034614287,3003.460643647,2705.238017052,0.056431010571428575,3.142857142857143,3.2142857142857144,0.42857142857142855,-0.5,Cleats,Standard Class,LATAM,Central America,Consumer,57.5663,82.0629,225.0566,1.857,1.7944,3.14,0.429,0,544.67,1.2341,38.23,MEDIUM,1,2015,3,69
2015-03-11,17,131.365182709125,1275.997215211,1109.2829182369999,0.086340752125,3.75,3.0,0.625,0.375,Men's Footwear,Second Class,LATAM,Western Europe,Consumer,28.5452,61.1133,188.7453,1.6791,1.626,3.75,0.625,1,536.38,0.9795,62.52,HIGH,2,2015,3,70
2015-03-12,15,129.0276407973,1653.378728708,1436.199709321,0.0664310667,4.1,3.1,0.6,1.1,Women's Apparel,Standard Class,Pacific Asia,Central America,Consumer,27.854,54.3909,150.1233,1.8569,1.6312,4.1,0.6,1,529.44,0.962,62.62,HIGH,2,2015,3,71
2015-03-13,25,72.17688516633334,1596.996742987,1434.759612584,0.051157330583333334,4.166666666666667,2.8333333333333335,0.5833333333333334,-0.3333333333333333,Cleats,Standard Class,LATAM,Central America,Consumer,52.22,114.3326,483.1004,2.0888,1.8192,4.17,0.583,1,595.59,0.5382,66.38,HIGH,2,2015,3,72
2015-03-14,26,163.3684879126,2123.285974755,1857.788711933,0.0669764256,3.8,3.4,0.6,0.4,Cleats,Standard Class,LATAM,Caribbean,Consumer,46.4001,95.1287,223.2546,1.7846,1.771,3.8,0.6,1,543.41,1.2181,67.6,HIGH,2,2015,3,73
2015-03-15,6,101.105813143,1329.8071641269999,1180.778006291,0.061795966199999997,3.0,3.4,0.4,0.0,Cleats,Standard Class,Europe,Central America,Consumer,12.5662,32.362,96.167,2.0944,1.7408,3.0,0.4,0,518.48,0.7538,34.82,MEDIUM,1,2015,3,74
2015-03-16,13,121.93759984133332,1632.06048865,1516.516469599,0.05577183283333333,3.8333333333333335,2.6666666666666665,0.6666666666666666,0.5,Indoor/Outdoor Games,Standard Class,LATAM,Central America,Consumer,17.9172,36.0157,57.7948,1.3782,1.7994,3.83,0.667,1,511.39,0.9092,65.99,HIGH,2,2015,3,75
2015-03-17,24,105.9027239935,1822.784539757,1692.149556191,0.027334228625000002,4.125,2.75,0.5,0.0,Fishing,Second Class,LATAM,Central America,Home Office,46.6667,83.9563,172.4061,1.9444,1.84,4.12,0.5,1,533.14,0.7896,66.8,HIGH,2,2015,3,76
2015-03-18,14,102.36280709733335,1265.0750231060001,1106.558648152,0.10248155766666667,3.1666666666666665,2.0,1.0,1.8333333333333333,Water Sports,First Class,Europe,Central America,Consumer,25.2935,50.8132,152.4192,1.8067,1.8641,3.17,1.0,1,526.38,0.7632,67.28,HIGH,2,2015,3,77
2015-03-19,20,106.15499546379999,727.396545747,658.013942806,0.0307821328,3.0,2.2,0.4,-0.6,Camping & Hiking,Standard Class,LATAM,Central America,Corporate,34.7652,75.9766,240.4835,1.7383,1.8271,3.0,0.4,0,552.2,0.7915,36.54,MEDIUM,1,2015,3,78
2015-03-20,33,123.1671857755,2990.1673595400002,2761.254067374,0.06390071883333333,3.4444444444444446,3.0,0.6111111111111112,0.05555555555555555,Fishing,Standard Class,LATAM,Western Europe,Consumer,59.6486,118.0832,250.5208,1.8075,1.7384,3.44,0.611,1,553.7,0.9183,64.77,HIGH,2,2015,3,79
2015-03-21,20,107.01800812541666,2421.456932984,2235.765945706,0.0697770515,3.6666666666666665,3.1666666666666665,0.75,0.5833333333333334,Water Sports,Standard Class,Pacific Asia,Caribbean,Consumer,29.3638,58.0339,133.0877,1.4682,1.7112,3.67,0.75,1,525.86,0.7979,64.22,HIGH,2,2015,3,80
2015-03-22,16,73.37828299471428,997.312493111,913.442976658,0.05225610428571429,3.7142857142857144,3.7142857142857144,0.42857142857142855,0.14285714285714285,Cleats,Standard Class,Africa,West Asia,Home Office,28.0337,47.7585,66.019,1.7521,1.7236,3.71,0.429,0,513.23,0.5471,34.47,MEDIUM,1,2015,3,81
2015-03-23,25,148.9126992411818,2127.377758224,1914.958880607,0.06583028,3.272727272727273,2.727272727272727,0.36363636363636365,-0.09090909090909091,Men's Footwear,Standard Class,Europe,Western Europe,Corporate,46.4034,79.6738,165.3429,1.8561,1.7217,3.27,0.364,0,530.14,1.1103,35.54,MEDIUM,1,2015,3,82
2015-03-24,34,187.7660456206154,3587.849462224,3230.804982301,0.038994262076923074,4.076923076923077,3.0,0.5384615384615384,0.0,Fishing,Standard Class,LATAM,Central America,Consumer,70.5934,104.5393,335.7066,2.0763,1.6575,4.08,0.538,1,572.91,1.4,67.15,HIGH,2,2015,3,83
2015-03-25,31,78.91066651610001,2225.641422994,2049.879931185,0.048547192700000005,3.4,2.4,1.0,1.0,Indoor/Outdoor Games,Standard Class,LATAM,Central America,Consumer,52.7175,146.6442,421.7328,1.7006,1.5143,3.4,1.0,1,590.23,0.5884,60.29,HIGH,2,2015,3,84
2015-03-26,14,189.860560539375,1567.759751568,1401.878786877,0.03982838975,4.5,3.125,0.5,0.5,Camping & Hiking,Standard Class,LATAM,Central America,Consumer,23.1269,35.3525,99.0518,1.6519,1.531,4.5,0.5,1,520.03,1.4156,64.78,HIGH,2,2015,3,85
2015-03-27,31,183.33588554546665,3668.415372615,3306.480763236,0.06737161013333333,3.933333333333333,2.8,0.4666666666666667,0.7333333333333333,Camping & Hiking,Standard Class,Europe,Central America,Consumer,52.8046,90.122,215.6433,1.7034,1.5088,3.93,0.467,0,546.3,1.367,33.85,MEDIUM,1,2015,3,86
